menuItemId,menuItemName,price,ingredients,isSeasonal
101,Black Milk Tea,5.25,"[{""itemId"":2001,""qty"":0.21},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
102,Oolong Milk Tea,5.25,"[{""itemId"":2002,""qty"":0.21},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
103,Green Milk Tea,5.25,"[{""itemId"":2003,""qty"":0.21},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
104,Matcha Latte,5.75,"[{""itemId"":2004,""qty"":0.21},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
105,Taro Latte,5.50,"[{""itemId"":2005,""qty"":0.21},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
106,Mango Green Tea,5.25,"[{""itemId"":2003,""qty"":0.21},{""itemId"":2006,""qty"":0.5}]",false
107,Lychee Oolong Tea,5.25,"[{""itemId"":2002,""qty"":0.21},{""itemId"":2007,""qty"":0.5}]",false
108,Passion Fruit Green Tea,5.25,"[{""itemId"":2003,""qty"":0.21},{""itemId"":2008,""qty"":0.5}]",false
109,Strawberry Black Tea,5.25,"[{""itemId"":2001,""qty"":0.21},{""itemId"":2009,""qty"":0.5}]",false
110,Watermelon Green Tea,5.25,"[{""itemId"":2003,""qty"":0.21},{""itemId"":2010,""qty"":0.5}]",false
111,Mango Strawberry Fusion Black Tea,5.75,"[{""itemId"":2001,""qty"":0.21},{""itemId"":2006,""qty"":0.25},{""itemId"":2009,""qty"":0.25}]",true
112,Classic Coffee,4.50,"[{""itemId"":2011,""qty"":0.25},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
113,Coffee Latte,5.75,"[{""itemId"":2011,""qty"":0.25},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
114,Brown Sugar Coffee Latte,6.00,"[{""itemId"":2011,""qty"":0.25},{""itemId"":2013,""qty"":1},{""itemId"":2014,""qty"":1}]",true
115,Oolong Milk Tea (Rich),5.50,"[{""itemId"":2002,""qty"":0.21},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
116,Black Milk Tea (Rich),5.50,"[{""itemId"":2001,""qty"":0.21},{""itemId"":2014,""qty"":0.8},{""itemId"":2015,""qty"":0.2}]",false
